iter	RMSE
0	3.809034808
1	3.770717273
2	3.712682095
3	3.669585751
4	3.619970766
5	3.561552098
6	3.516018273
7	3.467832261
8	3.421860758
9	3.398348659
10	3.351797833
11	3.307775866
12	3.281511851
13	3.239838371
14	3.202820432
15	3.163221416
16	3.119846306
17	3.085076188
18	3.053585755
19	3.016373015
20	2.977707535
21	2.941590663
22	2.923137642
23	2.892156375
24	2.867932254
25	2.843184952
26	2.801338915
27	2.775830208
28	2.737686651
29	2.710424473
30	2.678297656
31	2.653939415
32	2.632084064
33	2.600417106
34	2.587515493
35	2.557878529
36	2.538519257
37	2.50922274
38	2.483023149
39	2.456676034
40	2.446283159
41	2.421987503
42	2.403357335
43	2.375841109
44	2.359571105
45	2.336494218
46	2.311107194
47	2.275515503
48	2.258568287
49	2.23097482
50	2.197988498
51	2.179188374
52	2.153363378
53	2.137193996
54	2.115814794
55	2.107390221
56	2.077718778
57	2.06248784
58	2.052057068
59	2.024211595
60	2.000605934
61	1.975709642
62	1.949414592
63	1.93412477
64	1.913330885
65	1.897481566
66	1.882199389
67	1.863717469
68	1.847377707
69	1.827724296
70	1.802732572
71	1.783621033
72	1.767626034
73	1.743816334
74	1.728187595
75	1.705898686
76	1.684859047
77	1.662627006
78	1.648277757
79	1.635750906
80	1.614648865
81	1.593511463
82	1.573844983
83	1.554317269
84	1.543676946
85	1.524830949
86	1.513340888
87	1.491371789
88	1.475963881
89	1.461524326
90	1.445251718
91	1.433603495
92	1.422798491
93	1.405567489
94	1.393214474
95	1.383739526
96	1.37150323
97	1.361146006
98	1.348227923
99	1.332706352
