iter	Passed	Remaining
0	0	73
1	0	40
2	0	32
3	1	29
4	1	26
5	1	23
6	1	22
7	1	20
8	1	19
9	2	18
10	2	17
11	2	16
12	2	15
13	2	15
14	2	14
15	2	14
16	2	14
17	3	13
18	3	13
19	3	13
20	3	12
21	3	12
22	3	12
23	3	11
24	3	11
25	4	11
26	4	11
27	4	11
28	4	11
29	4	10
30	4	10
31	4	10
32	5	10
33	5	10
34	5	9
35	5	9
36	5	9
37	5	9
38	5	9
39	5	8
40	6	8
41	6	8
42	6	8
43	6	8
44	6	8
45	6	7
46	6	7
47	6	7
48	7	7
49	7	7
50	7	7
51	7	6
52	7	6
53	7	6
54	7	6
55	8	6
56	8	6
57	8	5
58	8	5
59	8	5
60	8	5
61	8	5
62	9	5
63	9	5
64	9	5
65	9	4
66	9	4
67	9	4
68	10	4
69	10	4
70	10	4
71	10	4
72	10	3
73	10	3
74	11	3
75	11	3
76	11	3
77	11	3
78	11	3
79	11	2
80	11	2
81	11	2
82	12	2
83	12	2
84	12	2
85	12	2
86	12	1
87	12	1
88	12	1
89	13	1
90	13	1
91	13	1
92	13	1
93	14	0
94	14	0
95	14	0
96	14	0
97	14	0
98	15	0
99	15	0
