Дата,№,Адрес,"Площадь, м^2",Год постройки,Количество этажей,Количество квартир на этаж,Координаты,Количество квартир,Количество абонентов,"Средний доход, руб",ОТУС-Л,МТС,Ростелеком,Есть конкуренты,"Средняя площадь квартиры, м^2",Новый фонд,Многоэтажка,Возраст дома,Новый без конкурентов,Премиум,Год постройки неизвестен,Широта,Долгота,Гео кластер,Расстояние до центра кластера
18.07.2023,1,"1-й Парковый проезд, 1",115.5,1957,1,4,"[57.63542,39.867259]",4,9.0,331.56,0,0,1,1,28.875,0,0,67,0,0,0,57.63542,39.867259,2,0.004112773944104306
18.07.2023,2,"1-й Парковый проезд, 2",117.0,1957,1,4,"[57.63676,39.8699]",4,9.0,334.15,0,0,1,1,29.25,0,0,67,0,0,0,57.63676,39.8699,2,0.0011557969178442003
18.07.2023,3,"1-й Парковый проезд, 3",116.8,1958,1,4,"[57.636596,39.868813]",4,9.0,332.68,0,0,1,1,29.2,0,0,66,0,0,0,57.636596,39.868813,2,0.002242033343929243
18.07.2023,4,"1-й Парковый проезд, 5",115.0,1958,1,4,"[57.637439,39.872946]",4,9.0,332.88,0,0,0,0,28.75,0,0,66,0,0,0,57.637439,39.872946,2,0.0019843667434346953
18.07.2023,5,"1-й Парковый проезд, 6",117.0,1958,1,4,"[57.635252,39.86822]",4,9.0,331.76,0,0,0,0,29.25,0,0,66,0,0,0,57.635252,39.86822,2,0.0033622391690020154
18.07.2023,6,"1-й Парковый проезд, 8",116.2,1959,1,4,"[57.637646,39.875371]",4,9.0,328.73,0,0,0,0,29.05,0,0,65,0,0,0,57.637646,39.875371,2,0.004416851441715138
18.07.2023,7,"1-й Парковый проезд, 9",718.0,1958,1,4,"[57.639376,39.874536]",4,8.0,321.9,0,0,1,1,179.5,0,0,66,0,0,0,57.639376,39.874536,2,0.004183579492784805
18.07.2023,8,"1-й Парковый проезд, 11",110.4,1958,1,4,"[57.639082,39.87662]",4,8.0,325.57,0,0,1,1,27.6,0,0,66,0,0,0,57.639082,39.87662,2,0.005954790815655642
18.07.2023,9,"1-й поселок Сокол проезд, 4",122.9,1957,1,4,"[57.638846,39.875488]",4,8.0,326.43,0,0,1,1,30.725,0,0,67,0,0,0,57.638846,39.875488,2,0.004808905720596209
18.07.2023,10,"1-й поселок Сокол проезд, 12",92.3,1957,1,4,"[57.637882,39.871589]",4,9.0,334.01,0,0,1,1,23.075,0,0,67,0,0,0,57.637882,39.871589,2,0.0009350872080905959
18.07.2023,11,"1-й поселок Сокол проезд, 1/6",128.4,1958,1,4,"[57.682645,39.787354]",4,8.0,321.12,0,0,1,1,32.1,0,0,66,0,0,0,57.682645,39.787354,0,0.017129845504467864
